"value_n","timestamp","key"
22.53719,2020-04-08 14:49:58,HouseAir_5Min_KMAnamoly
33.062077,2020-04-08 14:49:58,HouseAir_5Min_KMAnamoly
30.586575,2020-04-08 14:50:01,HouseAir_5Min_KMAnamoly
50.250248,2020-04-08 14:50:03,HouseAir_5Min_KMAnamoly
65.15766,2020-04-08 14:50:04,HouseAir_5Min_KMAnamoly
35.77828,2020-04-08 14:50:19,HouseAir_5Min_KMAnamoly
24.36412,2020-04-08 14:50:20,HouseAir_5Min_KMAnamoly
32.38958,2020-04-08 14:50:21,HouseAir_5Min_KMAnamoly
46.314106,2020-04-08 14:50:21,HouseAir_5Min_KMAnamoly
44.63466,2020-04-08 14:50:21,HouseAir_5Min_KMAnamoly
35.110054,2020-04-08 14:50:21,HouseAir_5Min_KMAnamoly
49.632862,2020-04-08 14:50:23,HouseAir_5Min_KMAnamoly
46.86064,2020-04-08 14:50:24,HouseAir_5Min_KMAnamoly
17.737322,2020-04-08 14:50:24,HouseAir_5Min_KMAnamoly
24.8687,2020-04-08 14:50:25,HouseAir_5Min_KMAnamoly
37.183075,2020-04-08 14:50:25,HouseAir_5Min_KMAnamoly
43.24207,2020-04-08 14:50:25,HouseAir_5Min_KMAnamoly
50.02145,2020-04-08 14:50:25,HouseAir_5Min_KMAnamoly
41.90869,2020-04-08 14:50:27,HouseAir_5Min_KMAnamoly
44.58562,2020-04-08 14:50:27,HouseAir_5Min_KMAnamoly
37.899918,2020-04-08 14:50:28,HouseAir_5Min_KMAnamoly
158.30603,2020-04-08 14:50:28,HouseAir_5Min_KMAnamoly
253.15517,2020-04-08 14:50:29,HouseAir_5Min_KMAnamoly
96.20886,2020-04-08 14:50:29,HouseAir_5Min_KMAnamoly
39.328926,2020-04-08 14:50:29,HouseAir_5Min_KMAnamoly
89.60853,2020-04-08 14:50:29,HouseAir_5Min_KMAnamoly
290.99982,2020-04-08 14:50:29,HouseAir_5Min_KMAnamoly
197.52701,2020-04-08 14:50:30,HouseAir_5Min_KMAnamoly
277.886,2020-04-08 14:50:30,HouseAir_5Min_KMAnamoly
211.64497,2020-04-08 14:50:31,HouseAir_5Min_KMAnamoly
69.46953,2020-04-08 14:50:31,HouseAir_5Min_KMAnamoly
44.658688,2020-04-08 14:50:31,HouseAir_5Min_KMAnamoly
64.83216,2020-04-08 14:50:31,HouseAir_5Min_KMAnamoly
335.35184,2020-04-08 14:50:31,HouseAir_5Min_KMAnamoly
310.12625,2020-04-08 14:50:31,HouseAir_5Min_KMAnamoly
60.85132,2020-04-08 14:50:32,HouseAir_5Min_KMAnamoly
24.141407,2020-04-08 14:50:32,HouseAir_5Min_KMAnamoly
39.07169,2020-04-08 14:50:32,HouseAir_5Min_KMAnamoly
18.107578,2020-04-08 14:50:32,HouseAir_5Min_KMAnamoly
24.625053,2020-04-08 14:50:34,HouseAir_5Min_KMAnamoly
18.793997,2020-04-08 14:50:35,HouseAir_5Min_KMAnamoly
30.750744,2020-04-08 14:50:35,HouseAir_5Min_KMAnamoly
24.629257,2020-04-08 14:50:36,HouseAir_5Min_KMAnamoly
16.69276,2020-04-08 14:50:36,HouseAir_5Min_KMAnamoly
11.059461,2020-04-08 14:50:36,HouseAir_5Min_KMAnamoly
14.4619055,2020-04-08 14:50:37,HouseAir_5Min_KMAnamoly
20.288563,2020-04-08 14:50:37,HouseAir_5Min_KMAnamoly
17.99187,2020-04-08 14:50:38,HouseAir_5Min_KMAnamoly
19.211088,2020-04-08 14:50:38,HouseAir_5Min_KMAnamoly
27.67283,2020-04-08 14:50:38,HouseAir_5Min_KMAnamoly
26.567741,2020-04-08 14:50:39,HouseAir_5Min_KMAnamoly
29.814367,2020-04-08 14:50:39,HouseAir_5Min_KMAnamoly
26.601034,2020-04-08 14:50:40,HouseAir_5Min_KMAnamoly
17.95515,2020-04-08 14:50:42,HouseAir_5Min_KMAnamoly
28.650604,2020-04-08 14:50:42,HouseAir_5Min_KMAnamoly
24.99542,2020-04-08 14:50:42,HouseAir_5Min_KMAnamoly
41.141945,2020-04-08 14:50:43,HouseAir_5Min_KMAnamoly
24.022549,2020-04-08 14:50:43,HouseAir_5Min_KMAnamoly
40.009823,2020-04-08 14:50:46,HouseAir_5Min_KMAnamoly
29.003294,2020-04-08 14:50:46,HouseAir_5Min_KMAnamoly
37.101723,2020-04-08 14:50:48,HouseAir_5Min_KMAnamoly
43.91767,2020-04-08 14:50:48,HouseAir_5Min_KMAnamoly
35.607956,2020-04-08 14:50:49,HouseAir_5Min_KMAnamoly
24.912416,2020-04-08 14:50:49,HouseAir_5Min_KMAnamoly
35.347767,2020-04-08 14:50:51,HouseAir_5Min_KMAnamoly
36.098335,2020-04-08 14:50:52,HouseAir_5Min_KMAnamoly
43.771526,2020-04-08 14:50:53,HouseAir_5Min_KMAnamoly
46.73934,2020-04-08 14:50:53,HouseAir_5Min_KMAnamoly
45.770973,2020-04-08 14:50:55,HouseAir_5Min_KMAnamoly
41.824825,2020-04-08 14:50:55,HouseAir_5Min_KMAnamoly
27.046183,2020-04-08 14:51:19,HouseAir_5Min_KMAnamoly
34.134327,2020-04-08 14:51:19,HouseAir_5Min_KMAnamoly
26.601704,2020-04-08 14:51:19,HouseAir_5Min_KMAnamoly
23.91041,2020-04-08 14:51:20,HouseAir_5Min_KMAnamoly
37.307167,2020-04-08 14:51:20,HouseAir_5Min_KMAnamoly
41.677486,2020-04-08 14:51:20,HouseAir_5Min_KMAnamoly
27.509783,2020-04-08 14:51:21,HouseAir_5Min_KMAnamoly
15.047173,2020-04-08 14:51:22,HouseAir_5Min_KMAnamoly
13.413422,2020-04-08 14:51:22,HouseAir_5Min_KMAnamoly
16.105606,2020-04-08 14:51:23,HouseAir_5Min_KMAnamoly
28.655115,2020-04-08 14:51:23,HouseAir_5Min_KMAnamoly
35.997417,2020-04-08 14:51:23,HouseAir_5Min_KMAnamoly
37.53246,2020-04-08 14:51:23,HouseAir_5Min_KMAnamoly
31.343624,2020-04-08 14:51:23,HouseAir_5Min_KMAnamoly
43.283333,2020-04-08 14:51:24,HouseAir_5Min_KMAnamoly
54.24513,2020-04-08 14:51:24,HouseAir_5Min_KMAnamoly
37.430656,2020-04-08 14:51:24,HouseAir_5Min_KMAnamoly
24.719006,2020-04-08 14:51:24,HouseAir_5Min_KMAnamoly
33.2552,2020-04-08 14:51:25,HouseAir_5Min_KMAnamoly
30.218925,2020-04-08 14:51:27,HouseAir_5Min_KMAnamoly
