datetime,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
28/05/2020 06:30,66,24.3356903,24.3356903,24.3356903,0,0,0,0,0
28/05/2020 06:35,67,24.54027352,24.54027352,24.54027352,0,0,0,0,0
28/05/2020 06:40,68,24.74485674,24.74485674,24.74485674,0,0,0,0,0
28/05/2020 06:45,69,24.94943996,24.94943996,24.94943996,0,0,0,0,0
28/05/2020 06:50,70,28.28417969,32,33.51611328,149.1464844,129.2597656,17.2043457,596.8828125,40.65869141
28/05/2020 06:55,71,28.14453125,32.33398438,34.4296875,133.7460938,146.1875,26.45678711,625.7890625,47.43359375
28/05/2020 07:00,72,28.09619141,32.55566406,34.89111328,140.7988281,168.4335938,35.20263672,647.953125,57.21875
28/05/2020 07:05,73,28.00146484,32.88916016,34.69921875,156.4394531,196.7792969,53.64794922,682.9296875,78.44824219
28/05/2020 07:10,74,28,33.29296875,35.20800781,196.7890625,246.46875,73.54296875,700.1640625,105.2519531
28/05/2020 07:15,75,28,33.62646484,34.76123047,240.4707031,299.6289063,95.84960938,705.078125,136.1464844
28/05/2020 07:20,76,28,34.12158203,35.85546875,285.8046875,353.9492188,119.8134766,707.3984375,169.453125
28/05/2020 07:25,77,28,34.49462891,35.98486328,332.6796875,409.0273438,144.1835938,708.265625,203.9160156
28/05/2020 07:30,78,28,34.828125,37.12695313,380.5820313,464.3007813,169.2148438,708.8984375,238.9414063
28/05/2020 07:35,79,28.04052734,35.45507813,37.83886719,428.734375,518.8359375,194.4199219,707.984375,274.640625
28/05/2020 07:40,80,28.14013672,36.39404297,38.42919922,476.7382813,572.0390625,219.7558594,706.625,311.046875
28/05/2020 07:45,81,28.47241211,37.60058594,39.12158203,525.09375,624.2734375,244.4355469,703.3125,347.8164063
28/05/2020 07:50,82,28.91723633,38.82177734,39.95507813,574.1796875,676.34375,269.015625,700.0390625,385.0039063
28/05/2020 07:55,83,29.4074707,39.94970703,40.93310547,625.7734375,730.90625,294.0351563,695.7890625,423.8125
28/05/2020 08:00,84,29.99267578,41.3828125,41.98046875,679.7890625,788.421875,319.9023438,692.3046875,463.96875
28/05/2020 08:05,85,30.82373047,43.03808594,43.25683594,734.2578125,846.640625,346.0039063,687.5703125,505.09375
28/05/2020 08:10,86,31.76977539,44.99560547,44.09570313,778.6015625,892.9375,367.4726563,682.8046875,539.171875
