"houseair","rcv_timestamp_utc"
95.923186,2020-04-08 14:48:21
97.704716,2020-04-08 14:48:22
95.856794,2020-04-08 14:48:22
97.085053,2020-04-08 14:48:23
95.663149,2020-04-08 14:48:24
98.352042,2020-04-08 14:48:29
102.772669,2020-04-08 14:48:46
96.73096,2020-04-08 14:48:58
99.491778,2020-04-08 14:49:00
96.29941,2020-04-08 14:49:01
95.923186,2020-04-08 14:49:02
96.221952,2020-04-08 14:49:03
96.327073,2020-04-08 14:49:03
95.840196,2020-04-08 14:49:05
94.70046,2020-04-08 14:49:06
98.296715,2020-04-08 14:49:11
98.589948,2020-04-08 14:49:17
98.484826,2020-04-08 14:49:33
98.219257,2020-04-08 14:49:41
96.542849,2020-04-08 14:49:42
98.805723,2020-04-08 14:49:42
98.241388,2020-04-08 14:49:43
95.580159,2020-04-08 14:49:44
99.441983,2020-04-08 14:49:45
96.365802,2020-04-08 14:49:46
99.419853,2020-04-08 14:49:46
96.039373,2020-04-08 14:49:47
99.226208,2020-04-08 14:49:48
98.462696,2020-04-08 14:49:48
95.19287,2020-04-08 14:49:49
97.311894,2020-04-08 14:49:50
97.95922,2020-04-08 14:48:22
95.984046,2020-04-08 14:48:22
96.481989,2020-04-08 14:48:23
96.067036,2020-04-08 14:48:24
97.378286,2020-04-08 14:48:29
97.865164,2020-04-08 14:48:58
99.845871,2020-04-08 14:49:00
97.212305,2020-04-08 14:49:01
96.216419,2020-04-08 14:49:02
93.527527,2020-04-08 14:49:02
93.549658,2020-04-08 14:49:04
95.414178,2020-04-08 14:49:05
96.758624,2020-04-08 14:49:06
99.580301,2020-04-08 14:49:07
97.95922,2020-04-08 14:49:11
99.845871,2020-04-08 14:49:33
97.101651,2020-04-08 14:49:41
98.733798,2020-04-08 14:49:43
96.083635,2020-04-08 14:49:44
95.015823,2020-04-08 14:49:44
98.739331,2020-04-08 14:49:45
96.376868,2020-04-08 14:49:45
97.892827,2020-04-08 14:49:46
95.524832,2020-04-08 14:49:47
98.999367,2020-04-08 14:49:48
99.945459,2020-04-08 14:49:48
96.775222,2020-04-08 14:49:49
98.971704,2020-04-08 14:49:50
96.415597,2020-04-08 14:49:51
96.802886,2020-04-08 14:49:51
