date,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
20/06/2020 17:30,6822,64.59570313,54.78808594,51.49511719,552.84375,832.8125,254.5097656,631.8984375,403.7460938
20/06/2020 17:35,6823,64.35449219,54.33984375,50.86621094,515.5703125,699.875,239.7578125,640.328125,377.640625
20/06/2020 17:40,6824,63.90185547,53.69970703,48.71484375,368.3085938,168.1230469,179.0644531,648.015625,277.5703125
20/06/2020 17:45,6825,63.04394531,52.97705078,48.39355469,382.546875,452.0429688,194.1816406,653.1796875,295.3359375
20/06/2020 17:50,6826,62.14501953,52.24414063,48.84863281,465.0898438,599.59375,235.3632813,652.9296875,358.7890625
20/06/2020 17:55,6827,61.47802734,51.7109375,49.56689453,517.765625,573.4296875,257.9726563,651.46875,395.2148438
20/06/2020 18:00,6828,61.05664063,51.33935547,49.34765625,495.0859375,539.125,243.5839844,648.5703125,375.53125
20/06/2020 18:05,6829,60.67041016,51.10205078,48.81103516,442.46875,485.0078125,216.7910156,649.046875,334.6328125
20/06/2020 18:10,6830,60.17822266,51.00146484,48.10498047,387.2304688,426.5117188,189.4140625,650.7265625,291.6679688
20/06/2020 18:15,6831,59.59912109,51,47.43847656,331.6445313,367.46875,161.4863281,653.4921875,247.453125
20/06/2020 18:20,6832,59.21386719,50.52099609,46.60400391,278.6523438,311.0195313,134.6503906,655.75,205.4726563
20/06/2020 18:25,6833,58.81835938,49.6484375,45.734375,230.6191406,259.3984375,109.8271484,659.203125,166.890625
20/06/2020 18:30,6834,58.26269531,48.37841797,44.734375,187.7050781,212.8183594,87.29785156,663.171875,132.0761719
20/06/2020 18:35,6835,57.6875,47.59667969,44.11816406,151.3769531,175.8378906,68.84667969,665.109375,103.7890625
20/06/2020 18:40,6836,57.28173828,47.10595703,43.86523438,129.4746094,150.2363281,57.93261719,666.2109375,87.07226563
20/06/2020 18:45,6837,56.99902344,46.96679688,43.64013672,99.39550781,103.9482422,43.68994141,663.6640625,65.6953125
20/06/2020 18:50,6838,46.12525633,46.12525633,46.12525633,0,0,0,0,0
20/06/2020 18:55,6839,45.42073774,45.42073774,45.42073774,0,0,0,0,0
20/06/2020 19:00,6840,44.71621916,44.71621916,44.71621916,0,0,0,0,0
20/06/2020 19:05,6841,44.04360728,44.04360728,44.04360728,0,0,0,0,0
20/06/2020 19:10,6842,43.3709954,43.3709954,43.3709954,0,0,0,0,0
20/06/2020 19:15,6843,42.69838352,42.69838352,42.69838352,0,0,0,0,0
20/06/2020 19:20,6844,42.02577163,42.02577163,42.02577163,0,0,0,0,0
20/06/2020 19:25,6845,41.35315975,41.35315975,41.35315975,0,0,0,0,0
20/06/2020 19:30,6846,40.68054787,40.68054787,40.68054787,0,0,0,0,0
20/06/2020 19:35,6847,40.00793599,40.00793599,40.00793599,0,0,0,0,0
20/06/2020 19:40,6848,39.33532411,39.33532411,39.33532411,0,0,0,0,0
20/06/2020 19:45,6849,38.66271223,38.66271223,38.66271223,0,0,0,0,0
20/06/2020 19:50,6850,37.99010035,37.99010035,37.99010035,0,0,0,0,0
20/06/2020 19:55,6851,37.31748847,37.31748847,37.31748847,0,0,0,0,0
20/06/2020 20:00,6852,36.64487659,36.64487659,36.64487659,0,0,0,0,0
20/06/2020 20:05,6853,36.53096776,36.53096776,36.53096776,0,0,0,0,0
