deviceid,floatvalue_saliencyscore,floatvalue_kmeansscore,floatvalue_FFTScore,floatvalue_spectralScore,floatvalue_GenScore,floatvalue,timestamp
CakebreadId_0128,693.190886836177,584.8597013808791,583.1093392192233,47.18101863945751,1.9506108805472748,41,01/31/2020 01:17,
CakebreadId_0128,590.3054634997209,552.069438565275,578.2763878605509,43.045482380708876,1.5330977715993288,39,01/31/2020 01:17,
CakebreadId_0128,560.0085197795036,551.4781930990773,477.1859363087705,44.044012154435066,1.3259244868857492,40,01/31/2020 01:18,
CakebreadId_0128,553.5166945312974,639.5568999925634,438.95505666668447,47.98562972153764,1.2386296369175418,44,01/31/2020 01:18,
CakebreadId_0128,480.1949206164866,602.9559545282668,333.9112944521243,48.46257520866592,1.1547956691572836,45,01/31/2020 01:18,
CakebreadId_0128,415.3215920301518,490.0488169023514,306.8611935724293,42.209016310258846,1.11498488903624,42,01/31/2020 01:19,
CakebreadId_0128,353.19073183668047,441.6567781539671,334.23221109423565,33.007621212348724,1.0035720249254965,40,01/31/2020 01:20,
CakebreadId_0128,347.2323556908127,499.7216047162676,307.5473733249792,28.23550519670188,0.9003842968830682,38,01/31/2020 01:20,
CakebreadId_0128,387.1755137683828,552.8131227038866,373.3011187793028,31.86110058553081,1.2519202147701844,39,01/31/2020 01:20,
CakebreadId_0128,363.8007818227755,620.9725833422797,402.2344623414279,41.243070684829725,1.245110069659532,42,01/31/2020 01:20,
CakebreadId_0128,392.07508252765035,639.1043096446311,372.10335674465335,50.887157197658226,1.1518931387801625,45,01/31/2020 01:21,
CakebreadId_0128,426.0128211503295,594.2521691795162,382.96524414425176,57.37159807912036,1.2560572429864834,44,01/31/2020 01:21,
CakebreadId_0128,419.3506668822027,513.2777866136057,389.418745785552,60.33455819962481,1.266068390361741,39,01/31/2020 01:22,
CakebreadId_0128,432.7367202900219,562.4173820794676,379.8229099845018,60.268258728195676,1.2456121983713997,44,01/31/2020 01:23,
CakebreadId_0128,482.1609704487731,559.8892158385981,403.96992279039694,56.69982534488084,1.4336568766975395,46,01/31/2020 01:23,
CakebreadId_0128,546.2047381133582,539.1051997904013,553.774938739621,49.726798393355104,1.8747791311888535,41,01/31/2020 01:24,
CakebreadId_0128,525.0976628667977,568.6126144624552,529.111332000074,42.46719049602009,1.4398658360450183,42,01/31/2020 01:25,
CakebreadId_0128,503.1881838566592,670.7680259367644,464.42750063513415,40.07575970147557,1.2080949042796374,38,01/31/2020 01:25,
CakebreadId_0128,533.8761120394901,652.456482976154,430.367563098813,45.12550770932681,1.4295685143440944,40,01/31/2020 01:25,
CakebreadId_0128,666.0892343424871,704.4028599781291,473.8904291878711,54.14256796827951,1.8803225135452126,45,01/31/2020 01:26,
CakebreadId_0128,805.4237805444185,733.8874648476971,596.1663987638067,61.11107557230657,2.2332790482170464,44,01/31/2020 01:26,
CakebreadId_0128,926.1427133926782,725.8737898332786,713.3445221539025,63.06549854799578,2.3453391647650648,45,01/31/2020 01:26,
CakebreadId_0128,951.3977403422053,743.9034159625085,720.7175800494599,61.22918565416571,2.09358252621631,42,01/31/2020 01:27,
CakebreadId_0128,1019.7248276811782,791.1256981891698,700.8408036271327,59.423365154541465,2.2469605660413334,39,01/31/2020 01:27,
CakebreadId_0128,979.7759652441306,777.382539756954,710.6570053970156,60.82414991756426,2.3314449687271273,47,01/31/2020 01:28,
CakebreadId_0128,950.714929709317,778.5279619844295,699.685360490645,65.05553849062903,2.351253047780225,38,01/31/2020 01:30,
CakebreadId_0128,1014.5099973933562,813.1500383301011,730.3697972813031,68.50979683695405,2.4401907649180625,44,01/31/2020 01:31,
CakebreadId_0128,1097.340803202734,815.6762983647384,891.7084471551736,67.82858132179828,2.878328901272007,47,01/31/2020 01:31,
CakebreadId_0128,1087.6004944393874,784.130701478066,870.5081101264574,63.107117785101416,2.59019855908004,44,01/31/2020 01:31,
CakebreadId_0128,1047.2933743805738,747.9887458428881,796.1108287053546,56.86335506431111,2.3271158140771497,41,01/31/2020 01:32,
CakebreadId_0128,975.2312342134015,786.4791572018237,720.992670377933,50.76169583244212,2.264555046508928,38,01/31/2020 01:33,
CakebreadId_0128,816.6457072067933,759.9322058277952,638.29604389365,44.52927370681668,2.184481635439724,46,01/31/2020 01:34,
CakebreadId_0128,666.5761262177017,700.4590554776802,538.7025744348564,37.407514514294036,2.0560035882205416,42,01/31/2020 01:35,
CakebreadId_0128,649.1313939467108,698.3734246076439,608.1707519671862,31.25085628884648,2.1485436594502616,39,01/31/2020 01:35,
CakebreadId_0128,687.2280150990807,669.8489684343707,733.9537596192416,30.84298108753381,2.033740695986312,38,01/31/2020 01:35,
CakebreadId_0128,691.5257157620312,651.1204756622432,658.7124444710479,38.36370314421679,1.7306487327546045,39,01/31/2020 01:35,
CakebreadId_0128,770.6218211028759,734.0974115220508,648.058220069747,49.27639695741905,1.9615526764510336,44,01/31/2020 01:36,
CakebreadId_0128,797.0741779708462,728.9589614786291,634.1492900673111,56.101850099997456,2.4738081474251556,47,01/31/2020 01:36,
CakebreadId_0128,649.4998532795796,618.5409412669447,561.2527946487415,56.0276388361089,1.8040909296865464,42,01/31/2020 01:37,
CakebreadId_0128,570.9925463976076,617.4555171907223,520.152539656639,52.61208528947564,1.4268253161588285,41,01/31/2020 01:37,
CakebreadId_0128,591.7454964934561,628.7072900752559,485.9078170497917,50.57489989700705,1.4583060194051136,38,01/31/2020 01:38,
CakebreadId_0128,604.8030955008961,700.1827132775127,531.5549432873061,50.34054192724106,1.617792572641037,46,01/31/2020 01:39,
CakebreadId_0128,572.1606923700239,663.7163461681256,433.65169924911555,48.06623368619193,1.4568859231453206,42,01/31/2020 01:39,
CakebreadId_0128,555.7378644005744,599.4616124526838,472.774924777425,41.073315222211846,1.6215653317115508,43,01/31/2020 01:40,
CakebreadId_0128,563.0553232215638,594.6244050051854,619.062394240771,32.472984766408665,1.7738741757818073,40,01/31/2020 01:40,
CakebreadId_0128,533.5640840320322,634.53268432584,529.6386569910172,28.507829680083024,1.5177680239697733,38,01/31/2020 01:40,
CakebreadId_0128,539.904347175572,661.447103133285,467.6495639103193,31.55345966852447,1.4383502722293509,39,01/31/2020 01:41,
CakebreadId_0128,509.2749224652584,688.9958402335169,491.1729122024586,37.73937381374444,1.7151599323535698,42,01/31/2020 01:41,
CakebreadId_0128,469.3009325163655,644.100526708045,470.0568597849523,42.08284073280505,1.7371211745589263,46,01/31/2020 01:41,
CakebreadId_0128,498.60149707199275,564.4107112360346,514.8305523399835,43.86511431394598,1.6803238883546143,40,01/31/2020 01:43,
CakebreadId_0128,596.1057160101875,585.1226531866693,638.1301234403646,45.801528851545484,2.144605888872745,39,01/31/2020 01:43,
CakebreadId_0128,658.3087154069833,654.1011089305902,723.4836631750708,50.2425330590027,2.3723566535681306,40,01/31/2020 01:43,
CakebreadId_0128,674.1728409022987,608.0765138975854,742.7877683979253,56.300959269712095,2.3026140010067753,47,01/31/2020 01:44,
CakebreadId_0128,656.1952695921223,575.9516947386963,639.2770948362693,60.446010882365925,1.982584324426671,44,01/31/2020 01:44,
CakebreadId_0128,687.702924754501,645.1297133194265,692.8250627412076,59.86050953693431,2.313287086006313,38,01/31/2020 01:46,
CakebreadId_0128,702.4866966971462,694.9644986984111,786.3262370689274,55.35468475992088,2.5898005932499424,46,01/31/2020 01:47,
CakebreadId_0128,711.1695942336668,707.2329283819561,738.2164705532022,50.85190991804466,2.350244587807405,41,01/31/2020 01:48,
CakebreadId_0128,792.6323304073019,730.1144833066485,909.4163332910931,49.653853039630036,2.7949901509682507,42,01/31/2020 01:48,
CakebreadId_0128,887.3551137953068,814.0946043404406,955.0183021233315,52.43412211648132,3.093930469649165,38,01/31/2020 01:48,
CakebreadId_0128,937.3244193645056,808.0961972177307,862.1744130278653,57.482656445429754,2.863571832796183,45,01/31/2020 01:49,
